Meal Names,Calories,Total Fat,Saturated Fat,Cholesterol,Protein,Carbs,Sodium,Fiber,Sugars
"Arbys - Chicken Tender 'n Cheese Slider, Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Chicken - Pro, Chipotle - Chips regular - Side, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar",1610.0,56.5,9.5,160.0,71.0,209.0,1935.0,22.0,22.0
"Burger King - French Toast Sticks (5 piece), Chipotle - Chipotle - Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Chicken - Pro, Chipotle - Chips regular - Side, Taco Bell - Crunchy Taco Supreme®",1670.0,70.5,12.0,150.0,67.0,199.0,2160.0,21.0,18.0
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Pinto Beans - Top, Chipotle - Steak - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Carnitas - Pro, Chipotle - Sour Cream - Top, McDonald’s - Sausage McMuffin®",1515.0,67.0,24.5,230.0,83.0,141.0,2270.0,24.0,7.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Queso Blanco (Entree) - Top, Chipotle - Chips regular - Side, McDonald’s - Fruit & Maple Oatmeal, Pizza Hut - Hand Tossed Slices Ultimate Cheese Lover’s® Medium",1530.0,64.0,17.5,145.0,52.0,189.0,1520.0,18.0,35.0
"Burger King - Kids Oatmeal, Chick Fil-A - 4 piece Chicken Nuggets, Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Steak - Pro, Chipotle - Chips large - Side",1600.0,58.5,10.0,125.0,62.0,210.0,2230.0,24.0,16.0
"Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Cheese - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Queso Blanco (Side) - Top, Chipotle - Romaine Lettuce - Top, McDonald’s - Fruit & Maple Oatmeal",1525.0,64.5,19.5,290.0,86.0,151.0,2280.0,13.0,38.0
"Burger King - French Toast Sticks (3 piece), Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Sour Cream - Top, Chipotle - Chipotle - Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chips regular - Side",1705.0,75.0,18.0,185.0,67.0,186.0,2290.0,13.0,11.0
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Carnitas - Pro, Chipotle - Queso Blanco (Side) - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Sour Cream - Top, Chipotle - Romaine Lettuce - Top, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar",1515.0,66.5,24.5,255.0,76.0,146.0,1815.0,19.0,24.0
"Burger King - Kids Oatmeal, Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Barbacoa - Pro, Chipotle - Cheese - Top, Chipotle - Chips regular - Side, Pizza Hut - Pan Pizza Slices Beyond Meat® Pepperoni Large",1550.0,65.0,11.5,125.0,59.0,182.0,2240.0,16.0,15.0
"McDonald’s - Fruit & Maple Oatmeal without Brown Sugar, Sonic - Crispy Asiago Caesar Chicken Club Sandwich, Sonic - Sonic Burger W/ Mustard",1580.0,81.0,25.0,190.0,67.0,144.0,2025.0,11.0,32.0
"Burger King - French Toast Sticks (5 piece), Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Chicken - Pro, Chipotle - Sour Cream - Top, Chipotle - Guacomole (Side) - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Chicken - Pro",1620.0,77.5,22.5,290.0,88.0,150.0,2010.0,19.0,18.0
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Carnitas - Pro, Chipotle - Sour Cream - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carne Asada - Pro, Chipotle - Cheese - Top, Chipotle - Queso Blanco (Entree) - Top, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar",1600.0,73.5,28.0,275.0,85.0,143.0,2175.0,17.0,23.0
"Burger King - Pancake and Sausage platter, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Sofritas - Pro, Chipotle - Sour Cream - Top, Chipotle - Romaine Lettuce - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Cheese - Top",1535.0,82.0,20.0,230.0,55.0,144.0,2120.0,12.0,37.0
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Sofritas - Pro, Chipotle - Sour Cream - Top, Chipotle - Chips regular - Side, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Chicken - Pro, Chipotle - Queso Blanco (Entree) - Top, McDonald’s - English Muffin",1690.0,78.0,19.5,195.0,67.0,185.0,2160.0,18.0,13.0
"Burger King - French Toast Sticks (5 piece), Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Sofritas - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chips regular - Side, Sonic - Jr. Burger",1625.0,76.0,11.5,35.0,39.0,202.0,2210.0,16.0,25.0
"Chick Fil-A - 4 Piece Grilled Chicken Nuggets, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Sour Cream - Top, Chipotle - Chips large - Side, Wendy’s - Seasoned Home-Style Potatoes, Medium",1590.0,73.0,15.0,155.0,54.0,182.0,1920.0,19.0,5.0
"Burger King - Kids Oatmeal, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Sour Cream - Top, Chipotle - Romaine Lettuce - Top, Chipotle - Chipotle - Tortilla burrito - Carb, Chipotle - Carnitas - Pro, Chipotle - Sour Cream - Top, Chipotle - Chips regular - Side",1815.0,82.0,23.0,230.0,70.0,190.0,2090.0,18.0,17.0
