Combinations,Calories,Total Fat,Saturated Fat,Cholestorol,Protein,Carbs,Sodium,Fiber,Sugars
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Carne Asada - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top, Chipotle - Romaine Lettuce - Top",480.0,18.0,5.5,100.0,33.0,46.0,1350.0,2.0,2.0
"Chipotle - Tortilla burrito - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Carnitas - Pro",550.0,21.0,7.5,65.0,32.0,55.0,1200.0,4.0,2.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Sofritas - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top, Chipotle - Queso Blanco (Entree) - Top",495.0,25.0,9.5,30.0,17.0,53.0,1260.0,5.0,8.0
"Chipotle - Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Sour Cream - Top",590.0,24.5,8.5,120.0,33.0,59.0,1170.0,6.0,6.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Sofritas - Pro, Chipotle - Queso Blanco (Entree) - Top",600.0,29.5,9.5,30.0,24.0,64.0,1020.0,13.0,8.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Sofritas - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chips regular - Side",905.0,41.0,2.5,0.0,19.0,119.0,1140.0,13.0,6.0
"Chipotle - Tortilla taco - Carb, Chipotle - Sofritas - Pro, Chipotle - Cheese - Top",510.0,26.0,2.5,30.0,21.0,50.0,1230.0,5.0,5.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Carne Asada - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chips regular - Side",1005.0,45.0,6.0,100.0,40.0,111.0,1320.0,10.0,1.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Carnitas - Pro, Chipotle - Queso Blanco (Entree) - Top",670.0,28.5,15.0,95.0,40.0,62.0,1100.0,9.0,3.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top",435.0,18.0,8.0,65.0,27.0,40.0,900.0,2.0,2.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carnitas - Pro, Chipotle - Guacomole (Side) - Top, Chipotle - Queso Blanco (Entree) - Top",760.0,52.0,22.0,95.0,33.0,41.0,1070.0,9.0,2.0
"Chipotle - Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chips large - Side",1245.0,53.0,7.5,125.0,50.0,151.0,1380.0,14.0,2.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Sofritas - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top",495.0,20.5,2.5,0.0,19.0,64.0,1030.0,13.0,9.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Chips large - Side",1270.0,55.5,7.5,125.0,49.0,155.0,1230.0,17.0,6.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Fajita Vegetables - Top, Chipotle - Carne Asada - Pro",600.0,24.5,6.0,100.0,41.0,57.0,1100.0,11.0,4.0
